"Table with row headers in column A and column headers in rows 4 through 7,,,,,,,,,,,,"
Table A-4.
"Poverty Status of People by Family Relationship, Race, and Hispanic Origin: 1959 to 2021"",,,,,,,,,,,,"
"(Populations in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>),,,,,,,,,,,,"
"Race, Hispanic origin, and year,All people,,,People in families,,,,,,Unrelated individuals,,"
",Total,Below poverty,,All families,,,""Families with female householder,"
"no spouse present"",,,Total,Below poverty,"
",,,,Total,Below poverty,,Total,Below poverty,,,,"
",,Number,Percent,,Number,Percent,,Number,Percent,,Number,Percent"
"ALL RACES,,,,,,,,,,,,"
"2021,""328,191"",""37,933"",11.6,""263,764"",""25,077"",9.5,""48,476"",""12,264"",25.3,""63,398"",""12,513"",19.7"
"20201,""327,570"",""37,548"",11.5,""264,437"",""25,232"",9.5,""48,984"",""12,469"",25.5,""62,097"",""11,963"",19.3"
"2019,""324,754"",""33,984"",10.5,""263,696"",""22,431"",8.5,""46,255"",""11,262"",24.3,""60,117"",""11,300"",18.8"
"2018,""323,847"",""38,146"",11.8,""262,010"",""25,489"",9.7,""46,660"",""12,491"",26.8,""60,768"",""12,287"",20.2"
"20172,""322,548"",""39,564"",12.3,""261,599"",""26,720"",10.2,""47,517"",""13,525"",28.5,""59,835"",""12,465"",20.8"
"2017,""322,549"",""39,698"",12.3,""260,709"",""26,766"",10.3,""47,999"",""13,378"",27.9,""60,786"",""12,593"",20.7"
"2016,""319,911"",""40,616"",12.7,""259,863"",""27,762"",10.7,""48,243"",""13,914"",28.8,""58,839"",""12,336"",21.0"
"2015,""318,454"",""43,123"",13.5,""258,121"",""29,893"",11.6,""48,497"",""14,719"",30.4,""58,988"",""12,671"",21.5"
"2014,""315,804"",""46,657"",14.8,""256,308"",""32,615"",12.7,""48,019"",""15,905"",33.1,""57,937"",""13,374"",23.1"
"20133,""313,096"",""46,269"",14.8,""256,070"",""32,786"",12.8,""49,951"",""17,170"",34.4,""55,400"",""12,707"",22.9"
"20134,""312,965"",""45,318"",14.5,""254,988"",""31,530"",12.4,""47,007"",""15,606"",33.2,""56,564"",""13,181"",23.3"
"2012,""310,648"",""46,496"",15.0,""252,863"",""33,198"",13.1,""47,085"",""15,957"",33.9,""56,185"",""12,558"",22.4"
"2011,""308,456"",""46,247"",15.0,""252,316"",""33,126"",13.1,""48,103"",""16,451"",34.2,""54,517"",""12,416"",22.8"
"20105,""306,130"",""46,343"",15.1,""250,200"",""33,120"",13.2,""46,454"",""15,911"",34.3,""54,250"",""12,449"",22.9"
"2009,""303,820"",""43,569"",14.3,""249,384"",""31,197"",12.5,""45,315"",""14,746"",32.5,""53,079"",""11,678"",22.0"
"2008,""301,041"",""39,829"",13.2,""248,301"",""28,564"",11.5,""44,027"",""13,812"",31.4,""51,534"",""10,710"",20.8"
"2007,""298,699"",""37,276"",12.5,""245,443"",""26,509"",10.8,""43,961"",""13,478"",30.7,""51,740"",""10,189"",19.7"
"2006,""296,450"",""36,460"",12.3,""245,199"",""25,915"",10.6,""43,223"",""13,199"",30.5,""49,884"",""9,977"",20.0"
"2005,""293,135"",""36,950"",12.6,""242,389"",""26,068"",10.8,""42,244"",""13,153"",31.1,""49,526"",""10,425"",21.1"
"20046,""290,617"",""37,040"",12.7,""240,754"",""26,544"",11.0,""42,053"",""12,832"",30.5,""48,609"",""9,926"",20.4"
"2003,""287,699"",""35,861"",12.5,""238,903"",""25,684"",10.8,""41,311"",""12,413"",30.0,""47,594"",""9,713"",20.4"
"2002,""285,317"",""34,570"",12.1,""236,921"",""24,534"",10.4,""40,529"",""11,657"",28.8,""47,156"",""9,618"",20.4"
"2001,""281,475"",""32,907"",11.7,""233,911"",""23,215"",9.9,""39,261"",""11,223"",28.6,""46,392"",""9,226"",19.9"
"20007,""278,944"",""31,581"",11.3,""231,909"",""22,347"",9.6,""38,375"",""10,926"",28.5,""45,624"",""8,653"",19.0"
"19998,""276,208"",""32,791"",11.9,""230,789"",""23,830"",10.3,""38,580"",""11,764"",30.5,""43,977"",""8,400"",19.1"
"1998,""271,059"",""34,476"",12.7,""227,229"",""25,370"",11.2,""39,000"",""12,907"",33.1,""42,539"",""8,478"",19.9"
"1997,""268,480"",""35,574"",13.3,""225,369"",""26,217"",11.6,""38,412"",""13,494"",35.1,""41,672"",""8,687"",20.8"
"1996,""266,218"",""36,529"",13.7,""223,955"",""27,376"",12.2,""38,584"",""13,796"",35.8,""40,727"",""8,452"",20.8"
"19959,""263,733"",""36,425"",13.8,""222,792"",""27,501"",12.3,""38,908"",""14,205"",36.5,""39,484"",""8,247"",20.9"
"199410,""261,616"",""38,059"",14.5,""221,430"",""28,985"",13.1,""37,253"",""14,380"",38.6,""38,538"",""8,287"",21.5"
"199311,""259,278"",""39,265"",15.1,""219,489"",""29,927"",13.6,""37,861"",""14,636"",38.7,""38,038"",""8,388"",22.1"
"199212,""256,549"",""38,014"",14.8,""217,936"",""28,961"",13.3,""36,446"",""14,205"",39.0,""36,842"",""8,075"",21.9"
"199113,""251,192"",""35,708"",14.2,""212,723"",""27,143"",12.8,""34,795"",""13,824"",39.7,""36,845"",""7,773"",21.1"
"1990,""248,644"",""33,585"",13.5,""210,967"",""25,232"",12.0,""33,795"",""12,578"",37.2,""36,056"",""7,446"",20.7"
"1989,""245,992"",""31,528"",12.8,""209,515"",""24,066"",11.5,""32,525"",""11,668"",35.9,""35,185"",""6,760"",19.2"
"198814,""243,530"",""31,745"",13.0,""208,056"",""24,048"",11.6,""32,164"",""11,972"",37.2,""34,340"",""7,070"",20.6"
"198714,""240,982"",""32,221"",13.4,""206,877"",""24,725"",12.0,""31,893"",""12,148"",38.1,""32,992"",""6,857"",20.8"
"1986,""238,554"",""32,370"",13.6,""205,459"",""24,754"",12.0,""31,152"",""11,944"",38.3,""31,679"",""6,846"",21.6"
"198515,""236,594"",""33,064"",14.0,""203,963"",""25,729"",12.6,""30,878"",""11,600"",37.6,""31,351"",""6,725"",21.5"
"198416,""233,816"",""33,700"",14.4,""202,288"",""26,458"",13.1,""30,844"",""11,831"",38.4,""30,268"",""6,609"",21.8"
"1983,""231,700"",""35,303"",15.2,""201,338"",""27,933"",13.9,""30,049"",""12,072"",40.2,""29,158"",""6,740"",23.1"
"1982,""229,412"",""34,398"",15.0,""200,385"",""27,349"",13.6,""28,834"",""11,701"",40.6,""27,908"",""6,458"",23.1"
"198117,""227,157"",""31,822"",14.0,""198,541"",""24,850"",12.5,""28,587"",""11,051"",38.7,""27,714"",""6,490"",23.4"
"1980,""225,027"",""29,272"",13.0,""196,963"",""22,601"",11.5,""27,565"",""10,120"",36.7,""27,133"",""6,227"",22.9"
